Date,High (°C),Low (°C),High (°F),Low (°F)
2025-07-01,29.444444444444443,25.0,85,77
2025-07-02,30.0,25.0,86,77
2025-07-03,30.555555555555557,25.555555555555557,87,78
2025-07-04,30.555555555555557,25.0,87,77
2025-07-05,30.555555555555557,25.0,87,77
2025-07-06,30.555555555555557,25.0,87,77
2025-07-07,30.0,25.0,86,77
