Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-06-01,88,77,82.5,-0.9,0,18,0.06,0,0
2022-06-02,88,76,82,-1.4,0,17,0,0,0
2022-06-03,87,76,81.5,-1,0,17,0.05,0,0
2022-06-04,88,76,82,-1.5,0,17,T,0,0
2022-06-05,88,78,83,-0.5,0,19,T,0,0
2022-06-06,89,78,83.5,0,0,19,0,0,0
2022-06-07,89,75,82,-1.5,0,17,0,0,0
2022-06-08,89,77,83,-0.5,0,18,0.24,0,0
2022-06-09,89,78,83.5,0,0,19,0.03,0,0
2022-06-10,89,77,83,-0.5,0,18,0.1,0,0
2022-06-11,89,80,84.5,1,0,20,0.05,0,0
2022-06-12,88,79,83.5,0,0,19,0.01,0,0
2022-06-13,88,79,83.5,-0.5,0,19,T,0,0
2022-06-14,89,77,83,-0.5,0,18,0.28,0,0
2022-06-15,89,79,84,0.5,0,19,0.09,0,0
2022-06-16,89,78,83.5,0,0,19,0.14,0,0
2022-06-17,89,74,81.5,-2,0,17,0.66,0,0
2022-06-18,88,75,81.5,-1.9,0,17,0.08,0,0
2022-06-19,89,77,83,-0.4,0,18,0.04,0,0
2022-06-20,86,75,80.5,-2.9,0,16,0.11,0,0
2022-06-21,87,76,81.5,-1.9,0,17,0.33,0,0
2022-06-22,87,75,81,-2.4,0,16,0.13,0,0
2022-06-23,88,75,81.5,-1.8,0,17,0.51,0,0
2022-06-24,86,77,81.5,-1.8,0,17,0.53,0,0
2022-06-25,87,79,83,-0.3,0,18,0.15,0,0
2022-06-26,88,77,82.5,-0.8,0,18,0.3,0,0
2022-06-27,84,73,78.5,-4.7,0,14,0.92,0,0
2022-06-28,86,74,80,-3.2,0,15,0.02,0,0
2022-06-29,87,74,80.5,-2.7,0,16,0,0,0
2022-06-30,88,77,82.5,-0.6,0,18,0.05,0,0
