Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-07-01,86,77,81.5,-1.6,0,17,0.34,0,0
2020-07-02,88,81,84.5,1.4,0,20,0.03,0,0
2020-07-03,91,77,84,1,0,19,T,0,0
2020-07-04,90,79,84.5,1.5,0,20,0.03,0,0
2020-07-05,91,79,85,2.1,0,20,0.07,0,0
2020-07-06,89,80,84.5,1.6,0,20,T,0,0
2020-07-07,89,79,84,1.1,0,19,0.02,0,0
2020-07-08,89,80,84.5,1.7,0,20,0.02,0,0
2020-07-09,90,80,85.5,2.7,0,21,0.04,0,0
2020-07-10,90,78,84,1.3,0,19,0.01,0,0
2020-07-11,89,77,83,0.3,0,18,0.84,0,0
2020-07-12,91,80,85.5,2.5,0,21,0.07,0,0
2020-07-13,89,76,82.5,-0.1,0,18,0.79,0,0
2020-07-14,89,80,84.5,1.9,0,20,T,0,0
2020-07-15,90,81,85.5,3,0,21,0.08,0,0
2020-07-16,90,81,85.5,3,0,21,0.02,0,0
2020-07-17,90,78,84,1.6,0,19,0.77,0,0
2020-07-18,89,78,83.5,1.1,0,19,0.35,0,0
2020-07-19,88,80,84,1.6,0,19,0.21,0,0
2020-07-20,91,78,84.5,2.2,0,20,1,0,0
2020-07-21,89,78,83.5,1.2,0,19,0.04,0,0
2020-07-22,89,78,83.5,1.3,0,19,0.02,0,0
2020-07-23,88,79,83.5,1.3,0,19,0.1,0,0
2020-07-24,89,80,85.5,3.3,0,21,0.32,0,0
2020-07-25,91,77,83,0.6,0,18,0.45,0,0
2020-07-26,85,78,81.5,-0.6,0,17,0.46,0,0
2020-07-27,87,77,82,-0.1,0,17,1.16,0,M
2020-07-28,86,76,81,-1.1,0,16,0.22,0,0
2020-07-29,88,76,82,0,0,17,0.63,0,0
2020-07-30,91,78,84.5,2.5,0,20,0.13,0,0
2020-07-31,91,80,85.5,3.5,0,21,0.04,0,0
