Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-10-01,87,75,81,-0.6,0,16,0.4,0,0
2022-10-02,86,74,80,-1.6,0,15,0.25,0,0
2022-10-03,88,75,81.5,-0.3,0,17,0.19,0,0
2022-10-04,89,77,83,1.1,0,18,0,0,0
2022-10-05,88,76,82,0.1,0,17,0.16,0,0
2022-10-06,88,76,82,0.1,0,17,0.1,0,0
2022-10-07,85,75,80,-1.9,0,15,0.15,0,0
2022-10-08,86,76,81,-0.9,0,16,0.83,0,0
2022-10-09,83,75,79,-3,0,14,0.7,0,0
2022-10-10,85,75,80,-2,0,15,0.1,0,0
2022-10-11,79,73,76,-6,0,11,4.63,0,0
2022-10-12,86,76,81,-1,0,16,0.41,0,0
2022-10-13,87,74,80.5,-1.5,0,16,2.21,0,0
2022-10-14,85,74,79.5,-2.6,0,15,0.64,0,0
2022-10-15,80,74,77,-5.1,0,12,0.73,0,0
2022-10-16,85,75,80,-2.1,0,15,0.03,0,0
2022-10-17,87,75,81,-1.1,0,16,0.17,0,0
2022-10-18,85,75,80,-2.1,0,15,0.06,0,0
2022-10-19,81,75,78,-4.2,0,13,1.2,0,0
2022-10-20,88,78,83,0.8,0,18,0.31,0,0
2022-10-21,85,76,80.5,-1.7,0,16,0.42,0,0
2022-10-22,86,78,82,-0.2,0,17,0.1,0,0
2022-10-23,84,77,80.5,-1.7,0,16,0.03,0,0
2022-10-24,87,77,82,-0.3,0,17,0.01,0,0
2022-10-25,86,77,81.5,-0.8,0,17,0.04,0,0
2022-10-26,87,75,81,-1.3,0,16,0.51,0,0
2022-10-27,85,75,80,-2.3,0,15,0.51,0,0
2022-10-28,85,77,81,-1.3,0,16,0.2,0,0
2022-10-29,86,75,80.5,-1.4,0,16,0.22,0,0
2022-10-30,85,76,80.5,-1.4,0,16,1.61,0,0
2022-10-31,86,76,81,-1,0,16,0.2,0,0
