Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-08-01,89,81,85,3.5,0,21,0.01,0,0
2020-08-02,89,82,85.5,3,0,21,0.21,0,0
2020-08-03,89,78,83.5,1.6,0,19,0.29,0,0
2020-08-04,90,79,84.5,2.6,0,20,0.05,0,0
2020-08-05,88,81,85,3.1,0,20,0.17,0,0
2020-08-06,88,80,84,2.1,0,19,0.04,0,0
2020-08-07,89,80,84.5,2.6,0,20,0.03,0,0
2020-08-08,88,79,83.5,1.6,0,19,0.26,0,0
2020-08-09,88,78,83,1.1,0,18,0.23,0,0
2020-08-10,91,79,85,3.1,0,20,0.41,0,0
2020-08-11,90,79,84.5,2.6,0,20,0.1,0,0
2020-08-12,88,77,82.5,0.6,0,18,0.18,0,0
2020-08-13,85,76,80.5,-1.3,0,16,0.29,0,0
2020-08-14,89,76,82.5,0.7,0,18,0.13,0,0
2020-08-15,88,77,82.5,0.7,0,18,0.03,0,0
2020-08-16,86,78,82,0.2,0,17,0.96,0,0
2020-08-17,90,77,83.5,1.7,0,19,T,0,0
2020-08-18,88,80,84,2.2,0,19,0.08,0,0
2020-08-19,89,79,84,2.2,0,19,0.09,0,0
2020-08-20,86,78,82,0.2,0,17,0.05,0,0
2020-08-21,89,78,83.5,1.7,0,19,T,0,0
2020-08-22,90,78,84,2.2,0,19,1.48,0,0
2020-08-23,89,78,83.5,1.7,0,19,T,0,0
2020-08-24,90,77,83.5,1.7,0,19,0.56,0,0
2020-08-25,87,75,81,-0.8,0,16,0.12,0,0
2020-08-26,88,77,82.5,0.7,0,18,0.01,0,0
2020-08-27,86,73,79.5,-2.3,0,15,3.8,0,0
2020-08-28,82,75,78.5,-3.3,0,14,1.78,0,0
2020-08-29,84,75,79.5,-2.3,0,15,1.23,0,0
2020-08-30,88,75,81.5,-0.3,0,17,T,0,0
2020-08-31,86,77,81.5,-0.3,0,17,0.09,0,0
