Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-02-01,86,72,79,-1.4,0,14,0,0,0
2022-02-02,86,74,80,-0.4,0,15,0.16,0,0
2022-02-03,86,76,81,0.6,0,16,0.03,0,0
2022-02-04,87,78,82.5,2.1,0,18,0,0,0
2022-02-05,86,74,80,-0.4,0,15,0,0,0
2022-02-06,85,76,80.5,0.1,0,16,0.02,0,0
2022-02-07,86,75,80.5,0.1,0,16,0.08,0,0
2022-02-08,86,76,81,0.6,0,16,0.05,0,0
2022-02-09,85,74,79.5,-0.9,0,15,0.24,0,0
2022-02-10,85,75,80,-0.4,0,15,T,0,0
2022-02-11,85,73,79,-1.4,0,14,0.02,0,0
2022-02-12,86,73,79.5,-0.9,0,15,T,0,0
2022-02-13,85,74,79.5,-1,0,15,0,0,0
2022-02-14,85,74,79.5,-1,0,15,0.03,0,0
2022-02-15,85,73,79,-1.5,0,14,T,0,0
2022-02-16,86,75,80.5,0,0,16,0,0,0
2022-02-17,85,77,81,0.5,0,16,0.03,0,0
2022-02-18,87,76,81.5,1,0,17,0.04,0,0
2022-02-19,85,77,81,0.5,0,16,0.02,0,0
2022-02-20,86,76,81,0.4,0,16,T,0,0
2022-02-21,89,74,81.5,0.9,0,17,0,0,0
2022-02-22,86,76,81,0.4,0,16,0.03,0,0
2022-02-23,87,76,81.5,0.9,0,17,0.02,0,0
2022-02-24,87,76,81.5,0.9,0,17,0.08,0,0
2022-02-25,87,76,81.5,0.8,0,17,0.01,0,0
2022-02-26,84,77,80.5,-0.2,0,16,0.29,0,0
2022-02-27,87,77,82,1.3,0,17,T,0,0
2022-02-28,87,77,82,1.3,0,17,0.03,0,0
