Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-09-01,86,77,81.5,-0.3,0,17,0.11,0,0
2020-09-02,88,78,83,1.2,0,18,0.02,0,0
2020-09-03,90,79,84.5,2.7,0,20,0.43,0,0
2020-09-04,88,79,83.5,1.7,0,19,0.43,0,0
2020-09-05,88,79,83.5,1.7,0,19,T,0,0
2020-09-06,88,79,83.5,1.7,0,19,0.14,0,0
2020-09-07,88,77,82.5,0.7,0,18,0.29,0,0
2020-09-08,88,79,83.5,1.8,0,19,0.07,0,0
2020-09-09,88,77,82.5,0.8,0,18,0.01,0,0
2020-09-10,88,79,83.5,1.8,0,19,T,0,0
2020-09-11,90,79,84.5,2.8,0,20,0.23,0,0
2020-09-12,88,79,83.5,1.8,0,19,0.16,0,0
2020-09-13,88,79,84,2.3,0,19,0.08,0,0
2020-09-14,88,75,81.5,-0.2,0,17,0.9,0,0
2020-09-15,90,76,83,1.3,0,18,0.04,0,0
2020-09-16,81,75,78,-3.7,0,13,1.48,0,0
2020-09-17,86,75,80.5,-1.2,0,16,1.42,0,0
2020-09-18,88,81,84.5,2.8,0,20,0.21,0,0
2020-09-19,88,77,82.5,0.8,0,18,0.06,0,0
2020-09-20,86,77,81.5,-0.2,0,17,0.19,0,0
2020-09-21,81,75,78,-3.7,0,13,1.64,0,0
2020-09-22,86,76,81,-0.7,0,16,0.09,0,0
2020-09-23,86,75,80.5,-1.2,0,16,0.01,0,0
2020-09-24,88,78,83,1.3,0,18,0.08,0,0
2020-09-25,90,79,84.5,2.7,0,20,0.01,0,0
2020-09-26,90,77,83.5,1.7,0,19,0.07,0,0
2020-09-27,87,79,83,1.2,0,18,0.3,0,0
2020-09-28,90,79,84.5,2.7,0,20,0.19,0,0
2020-09-29,88,77,82.5,0.7,0,18,0.68,0,0
2020-09-30,88,76,82,0.2,0,17,0.82,0,0
