Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-02-01,86,75,80.5,0.1,0,16,0.01,0,0
2021-02-02,86,76,81,0.6,0,16,0.01,0,0
2021-02-03,85,75,80,-0.4,0,15,0.32,0,0
2021-02-04,86,77,81.5,1.1,0,17,0,0,0
2021-02-05,87,75,81,0.6,0,16,0.06,0,0
2021-02-06,87,78,82.5,2.1,0,18,0.29,0,0
2021-02-07,85,77,81,0.6,0,16,0.01,0,0
2021-02-08,85,76,80.5,0.1,0,16,T,0,0
2021-02-09,87,77,82,1.6,0,17,0.04,0,0
2021-02-10,87,77,82,1.6,0,17,0,0,0
2021-02-11,85,76,80.5,0.1,0,16,T,0,0
2021-02-12,86,77,81.5,1.1,0,17,0,0,0
2021-02-13,87,76,81.5,1,0,17,0.02,0,0
2021-02-14,86,76,81,0.5,0,16,0,0,0
2021-02-15,86,78,82,1.5,0,17,T,0,0
2021-02-16,86,77,81.5,1,0,17,0,0,0
2021-02-17,86,77,81.5,1,0,17,T,0,0
2021-02-18,86,76,81,0.5,0,16,0.03,0,0
2021-02-19,87,77,82,1.5,0,17,0.03,0,0
2021-02-20,87,77,82,1.4,0,17,0.01,0,0
2021-02-21,88,76,82,1.4,0,17,T,0,0
2021-02-22,87,74,80.5,-0.1,0,16,0.15,0,0
2021-02-23,87,75,81,0.4,0,16,T,0,0
2021-02-24,87,78,82.5,1.9,0,18,T,0,0
2021-02-25,87,78,82.5,1.8,0,18,0.03,0,0
2021-02-26,87,77,81.5,0.8,0,17,T,0,0
2021-02-27,87,75,81,0.3,0,16,0,0,0
2021-02-28,88,76,82,1.3,0,17,0,0,0
