Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-04-01,88,76,82.5,0.6,0,18,0.07,0,0
2021-04-02,84,77,80,-2,0,15,0.81,0,0
2021-04-03,85,75,80,-2,0,15,0,0,0
2021-04-04,87,75,81,-1.1,0,16,0,0,0
2021-04-05,87,78,82.5,0.4,0,18,0.15,0,0
2021-04-06,89,77,83,0.9,0,18,0.01,0,0
2021-04-07,88,76,82.5,0.3,0,18,0.02,0,0
2021-04-08,89,76,82.5,0.3,0,18,0,0,0
2021-04-09,88,79,83.5,1.2,0,19,T,0,0
2021-04-10,90,80,85,2.7,0,20,0.04,0,0
2021-04-11,88,79,84.5,2.1,0,20,T,0,0
2021-04-12,90,79,84.5,2.1,0,20,0.03,0,0
2021-04-13,88,78,83,0.6,0,18,0.11,0,0
2021-04-14,87,80,83.5,1,0,19,0.05,0,0
2021-04-15,88,79,83.5,1,0,19,T,0,0
2021-04-16,88,79,84,1.4,0,19,T,0,0
2021-04-17,89,79,84,1.4,0,19,0.02,0,0
2021-04-18,90,77,83.5,0.9,0,19,0,0,0
2021-04-19,89,76,82.5,-0.2,0,18,0.11,0,0
2021-04-20,89,75,82,-0.7,0,17,0.01,0,0
2021-04-21,91,75,83,0.3,0,18,0,0,0
2021-04-22,90,73,81.5,-1.3,0,17,0,0,0
2021-04-23,89,73,81,-2.8,0,16,0,0,0
2021-04-24,89,73,81.5,-1.3,0,17,0,0,0
2021-04-25,90,78,84,1.2,0,19,0.03,0,0
2021-04-26,85,77,81,-1.9,0,16,0.82,0,0
2021-04-27,87,75,81,-1.9,0,16,0.56,0,0
2021-04-28,89,79,84,1.1,0,19,0.07,0,0
2021-04-29,88,78,83,0.1,0,18,0.1,0,0
2021-04-30,89,78,83.5,0.6,0,19,0.01,0,0
