Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-12-01,85,75,80,-2.3,0,15,2.66,0,0
2021-12-02,86,75,80.5,-1.8,0,16,0.1,0,0
2021-12-03,86,75,80.5,-1.8,0,16,0,0,0
2021-12-04,87,75,81,-1.2,0,16,0,0,0
2021-12-05,87,76,81.5,-0.7,0,17,T,0,0
2021-12-06,86,76,81,-1.2,0,16,0.37,0,0
2021-12-07,84,73,78.5,-3.6,0,14,0.34,0,0
2021-12-08,87,79,83,0.9,0,18,T,0,0
2021-12-09,87,78,82.5,0.4,0,18,0.14,0,0
2021-12-10,87,79,83,0.5,0,18,T,0,0
2021-12-11,87,78,82.5,0.1,0,18,0.05,0,0
2021-12-12,86,76,81,-1,0,16,0.05,0,0
2021-12-13,86,75,80.5,-1.4,0,16,0.09,0,0
2021-12-14,84,78,81,-0.9,0,16,0.02,0,0
2021-12-15,86,78,82,0.1,0,17,0.01,0,0
2021-12-16,85,75,80,-1.8,0,15,0.11,0,0
2021-12-17,85,75,80,-1.8,0,15,0.11,0,0
2021-12-18,87,75,81,-0.8,0,16,0.09,0,0
2021-12-19,87,76,81.5,-0.2,0,17,0.06,0,0
2021-12-20,85,76,80.5,-1.2,0,16,0.01,0,0
2021-12-21,87,76,81.5,-1.1,0,17,0.07,0,0
2021-12-22,87,75,81,-1.1,0,16,0.01,0,0
2021-12-23,87,74,80.5,-1,0,16,0,0,0
2021-12-24,85,72,78.5,-3,0,14,0.21,0,0
2021-12-25,86,79,82.5,1.1,0,18,T,0,0
2021-12-26,87,78,82.5,1.1,0,18,0,0,0
2021-12-27,86,76,81,-0.4,0,16,0.01,0,0
2021-12-28,87,77,82,0.2,0,17,T,0,0
2021-12-29,86,78,82,1.2,0,17,0,0,0
2021-12-30,87,75,81,-1.2,0,16,T,0,0
2021-12-31,86,73,79.5,-0.7,0,15,0.01,0,0
