Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-03-01,88,77,82.5,1.8,0,18,0,0,0
2021-03-02,88,76,82,1.2,0,17,0.01,0,0
2021-03-03,90,77,83.5,2.7,0,19,0,0,0
2021-03-04,90,76,83,2.2,0,18,0,0,0
2021-03-05,88,77,82.5,1.6,0,18,0.01,0,0
2021-03-06,88,77,83,2.1,0,18,0.1,0,0
2021-03-07,89,78,83.5,2.6,0,19,0.01,0,0
2021-03-08,88,77,82.5,1.6,0,18,0.11,0,0
2021-03-09,80,73,76.5,-4.5,0,12,0.69,0,0
2021-03-10,83,75,79,-2,0,14,0.2,0,0
2021-03-11,84,74,79,-2,0,14,T,0,0
2021-03-12,81,73,77,-4.1,0,12,0.51,0,0
2021-03-13,85,75,80,-1.1,0,15,0.2,0,0
2021-03-14,86,76,81,-0.1,0,16,0.15,0,0
2021-03-15,86,76,81,0.2,0,16,0.04,0,0
2021-03-16,87,76,81.5,0.3,0,17,0,0,0
2021-03-17,87,76,81.5,0.7,0,17,0.04,0,0
2021-03-18,86,78,82,0.7,0,17,0.04,0,0
2021-03-19,87,77,82,0.7,0,17,T,0,0
2021-03-20,86,76,81,0.4,0,16,0.15,0,0
2021-03-21,86,77,81.5,0.1,0,17,0,0,0
2021-03-22,86,78,82,0.5,0,17,0.04,0,0
2021-03-23,87,76,81.5,0,0,17,0.12,0,0
2021-03-24,87,76,81.5,0,0,17,0.11,0,0
2021-03-25,87,76,82,0.4,0,17,0.04,0,0
2021-03-26,88,77,82.5,0.9,0,18,0,0,0
2021-03-27,88,77,82.5,0.8,0,18,0,0,0
2021-03-28,87,76,81.5,-0.2,0,17,0,0,0
2021-03-29,87,77,82.5,0.7,0,18,0,0,0
2021-03-30,89,75,82,0.2,0,17,0.03,0,0
2021-03-31,87,77,82,0.1,0,17,0.01,0,0
