Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-09-01,87,74,80.5,-1.3,0,16,0.01,0,0
2022-09-02,88,75,81.5,-0.3,0,17,0.01,0,0
2022-09-03,88,75,81.5,-0.3,0,17,1.35,0,0
2022-09-04,88,75,81.5,-0.3,0,17,T,0,0
2022-09-05,89,77,83,1.2,0,18,0.03,0,0
2022-09-06,88,76,82,0.2,0,17,0,0,0
2022-09-07,88,78,83,1.2,0,18,0,0,0
2022-09-08,88,77,82.5,0.8,0,18,0.25,0,0
2022-09-09,87,77,82,0.3,0,17,0.02,0,0
2022-09-10,87,77,82,0.3,0,17,0,0,0
2022-09-11,87,75,81,-0.7,0,16,1.66,0,0
2022-09-12,89,76,82.5,0.8,0,18,0.03,0,0
2022-09-13,86,74,80,-1.7,0,15,1.14,0,0
2022-09-14,82,74,78,-3.7,0,13,3.35,0,0
2022-09-15,84,75,79.5,-2.2,0,15,1,0,0
2022-09-16,88,73,80.5,-1.2,0,16,0.15,0,0
2022-09-17,86,75,80.5,-1.2,0,16,1.13,0,0
2022-09-18,87,75,81,-0.7,0,16,0.02,0,0
2022-09-19,83,74,78.5,-3.2,0,14,0.12,0,0
2022-09-20,88,74,81,-0.7,0,16,0.23,0,0
2022-09-21,89,77,83,1.3,0,18,0.03,0,0
2022-09-22,86,76,81,-0.7,0,16,0.51,0,0
2022-09-23,86,75,80.5,-1.2,0,16,0.02,0,0
2022-09-24,88,75,81.5,-0.2,0,17,0.76,0,0
2022-09-25,80,75,77.5,-4.3,0,13,0.64,0,0
2022-09-26,87,75,81,-0.8,0,16,0.18,0,0
2022-09-27,88,76,82,0.2,0,17,0.01,0,0
2022-09-28,87,74,80.5,-1.3,0,16,0.53,0,0
2022-09-29,88,76,82,0.2,0,17,0.12,0,0
2022-09-30,87,78,82.5,0.7,0,18,0.44,0,0
