Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-05-01,89,79,84,1,0,19,0.04,0,0
2021-05-02,89,79,84,1,0,19,0.22,0,0
2021-05-03,89,76,82.5,-0.5,0,18,0.74,0,0
2021-05-04,89,78,83.5,0.5,0,18,0.13,0,0
2021-05-05,89,78,83.5,0.5,0,18,0.02,0,0
2021-05-06,88,78,83,-0.1,0,18,0.3,0,0
2021-05-07,86,77,81.5,-1.6,0,17,0.67,0,0
2021-05-08,87,78,82.5,-0.6,0,18,0.4,0,0
2021-05-09,87,79,83,-0.1,0,18,0.02,0,0
2021-05-10,88,78,83,-0.1,0,18,0.04,0,0
2021-05-11,88,79,83.5,0.4,0,19,T,0,0
2021-05-12,89,79,84,0.9,0,19,T,0,0
2021-05-13,87,79,83,-0.2,0,18,0.26,0,0
2021-05-14,88,77,82.5,-0.7,0,18,0.03,0,0
2021-05-15,84,75,79.5,-3.7,0,15,2.11,0,0
2021-05-16,87,75,81,-2.2,0,16,0.09,0,0
2021-05-17,86,79,82.5,-0.7,0,18,0.03,0,0
2021-05-18,87,78,82.5,-0.7,0,18,0.1,0,0
2021-05-19,87,77,82,-1.2,0,17,0.13,0,0
2021-05-20,89,76,82.5,-0.8,0,18,0.04,0,0
2021-05-21,87,78,82.5,-0.6,0,18,0.09,0,0
2021-05-22,86,76,81,-2.3,0,16,0.28,0,0
2021-05-23,88,78,83,-0.3,0,18,0.05,0,0
2021-05-24,87,78,82.5,-0.6,0,18,0.15,0,0
2021-05-25,88,80,84,0.7,0,19,T,0,0
2021-05-26,89,80,84.5,1.1,0,20,0.02,0,0
2021-05-27,86,77,81.5,-1.9,0,17,0.22,0,0
2021-05-28,86,77,81.5,-1.9,0,17,0.27,0,0
2021-05-29,88,80,84,0.6,0,19,0.03,0,0
2021-05-30,88,77,82.5,-0.9,0,18,0.4,0,0
2021-05-31,83,78,80.5,-2.9,0,16,0.26,0,0
