Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-11-01,87,78,82.5,0.1,0,18,0.02,0,0
2020-11-02,89,79,84,1.6,0,19,0.17,0,0
2020-11-03,88,80,84,1.6,0,19,0.01,0,0
2020-11-04,88,77,83,0.6,0,18,0.12,0,0
2020-11-05,87,77,82,-0.5,0,17,0.61,0,0
2020-11-06,88,78,83,0.5,0,18,0.15,0,0
2020-11-07,87,78,82.5,0,0,18,0.41,0,0
2020-11-08,88,75,81.5,-1,0,17,0.09,0,0
2020-11-09,88,79,83.5,1,0,19,0.06,0,0
2020-11-10,88,80,84,1.5,0,19,0.02,0,0
2020-11-11,85,77,81,-1.5,0,16,0.77,0,0
2020-11-12,88,77,82.5,0,0,18,0.18,0,0
2020-11-13,88,78,83,0.5,0,18,0.29,0,0
2020-11-14,88,80,84,1.5,0,19,0.04,0,0
2020-11-15,86,77,81.5,-1,0,17,0.57,0,0
2020-11-16,88,78,83,0.5,0,18,0,0,0
2020-11-17,86,77,81.5,-1,0,17,0.38,0,0
2020-11-18,86,77,81.5,-1,0,17,0.37,0,0
2020-11-19,86,78,82,-0.5,0,17,T,0,0
2020-11-20,88,73,80.5,-2,0,16,0.01,0,0
2020-11-21,89,77,83,0.5,0,18,0.03,0,0
2020-11-22,88,78,83,0.5,0,18,0.02,0,0
2020-11-23,85,74,79.5,-2.9,0,15,1.08,0,0
2020-11-24,87,75,81,-1.4,0,16,1.16,0,0
2020-11-25,87,75,81,-1.4,0,16,0.96,0,0
2020-11-26,87,79,83,0.6,0,18,0.09,0,0
2020-11-27,88,75,81.5,-0.9,0,17,0.63,0,0
2020-11-28,84,74,79,-3.4,0,14,1.27,0,0
2020-11-29,87,77,82,-0.3,0,17,0.44,0,0
2020-11-30,86,75,80.5,-1.8,0,16,0.38,0,0
