Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-11-01,67,77,82,-0.4,0,7,0.02,0,0
2021-11-02,67,75,81,-1.4,0,6,0.55,0,0
2021-11-03,66,74,80,-2.4,0,5,T,0,0
2021-11-04,68,78,83,0.6,0,8,0.1,0,0
2021-11-05,68,78,83,0.5,0,8,0.02,0,0
2021-11-06,68,78,83,0.5,0,8,0.05,0,0
2021-11-07,68,78,83,0.5,0,8,0.04,0,0
2021-11-08,67,77,82,-0.5,0,7,0.83,0,0
2021-11-09,68,78,83,0.5,0,8,0.17,0,0
2021-11-10,68,78,83,0.5,0,8,0.04,0,0
2021-11-11,68,80,84,1.5,0,9,T,0,0
2021-11-12,68,79,83.5,1,0,9,0.11,0,0
2021-11-13,68,80,84,1.5,0,9,0.07,0,0
2021-11-14,67,78,82.5,0,0,8,0.58,0,0
2021-11-15,69,77,83,0.5,0,8,0.32,0,0
2021-11-16,64,76,80,-2.5,0,5,0.39,0,0
2021-11-17,66,77,81.5,-1,0,6,0.65,0,0
2021-11-18,67,78,82.5,0,0,8,0.03,0,0
2021-11-19,66,79,82.5,0,0,8,T,0,0
2021-11-20,67,80,83.5,1,0,9,T,0,0
2021-11-21,67,77,82,-0.5,0,7,T,0,0
2021-11-22,66,77,81.5,-1,0,6,0.16,0,0
2021-11-23,67,76,81.5,-0.9,0,6,1.2,0,0
2021-11-24,68,76,82,-0.4,0,7,0.41,0,0
2021-11-25,68,77,82.5,0.1,0,8,0.45,0,0
2021-11-26,67,76,81.5,-0.9,0,6,0.4,0,0
2021-11-27,67,76,81,-1,0,6,T,0,0
2021-11-28,65,75,80,-2.4,0,5,0.68,0,0
2021-11-29,62,74,78,-4.3,0,3,1.3,0,0
2021-11-30,65,76,80.5,-1.8,0,6,1.4,0,0
