Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-06-01,88,80,84,0.6,0,19,T,0,0
2020-06-02,89,78,83.5,0.7,0,19,0.01,0,0
2020-06-03,89,79,84,0.5,0,19,0.04,0,0
2020-06-04,89,81,85,1.5,0,20,0.02,0,0
2020-06-05,85,78,81.5,-2,0,17,0.63,0,0
2020-06-06,87,78,82.5,-1,0,18,0.13,0,0
2020-06-07,88,80,84,0.5,0,19,0,0,0
2020-06-08,90,78,84,0.5,0,19,0.41,0,0
2020-06-09,88,80,84,0.5,0,19,T,0,0
2020-06-10,90,80,85,1.5,0,20,0.05,0,0
2020-06-11,90,75,82.5,-1,0,18,0.84,0,0
2020-06-12,89,80,84.5,1,0,20,0.04,0,0
2020-06-13,89,81,85,1.5,0,20,T,0,0
2020-06-14,89,81,85.5,2,0,21,0.03,0,0
2020-06-15,89,80,84.5,1,0,20,0.05,0,0
2020-06-16,88,81,84.5,1,0,20,T,0,0
2020-06-17,89,81,85,1.5,0,20,0.05,0,0
2020-06-18,90,81,85.5,2.1,0,21,T,0,0
2020-06-19,90,81,85.5,2.1,0,21,0.04,0,0
2020-06-20,91,79,85,1.6,0,20,0.02,0,0
2020-06-21,91,80,85.5,2.1,0,21,0.09,0,0
2020-06-22,90,80,85,1.6,0,20,0.03,0,0
2020-06-23,90,80,85,1.7,0,20,0.25,0,0
2020-06-24,90,78,84,0.7,0,19,0.21,0,0
2020-06-25,90,82,86,2.7,0,21,T,0,0
2020-06-26,89,80,84.5,1.2,0,20,0.09,0,0
2020-06-27,90,81,85.5,2.3,0,21,0.11,0,0
2020-06-28,91,79,85,1.6,0,20,0.07,0,0
2020-06-29,89,79,84,0.8,0,19,0.19,0,0
2020-06-30,91,79,85,1.9,0,20,T,0,0
