Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-04-01,86,75,80.5,-2,0,16,0.17,0,0
2022-04-02,84,76,80,-1.4,0,15,0.64,0,0
2022-04-03,87,78,82.5,0.5,0,18,0.07,0,0
2022-04-04,85,78,81.5,-0.6,0,17,0.04,0,0
2022-04-05,87,79,83,0.9,0,18,T,0,0
2022-04-06,87,78,82.5,0.4,0,18,0.07,0,0
2022-04-07,86,73,79.5,-2.7,0,15,0.11,0,0
2022-04-08,86,79,82.5,0.3,0,18,T,0,0
2022-04-09,83,78,80.5,-1.6,0,16,0.23,0,0
2022-04-10,84,74,79,-3.3,0,14,0.23,0,0
2022-04-11,86,76,81,-1.4,0,16,0.48,0,0
2022-04-12,87,72,79.5,-2.9,0,15,0.7,0,0
2022-04-13,85,75,80,-2.4,0,15,0.02,0,0
2022-04-14,86,79,82.5,0,0,18,0,0,0
2022-04-15,87,79,83,0.5,0,18,0,0,0
2022-04-16,86,78,82,-1.1,0,17,0.01,0,0
2022-04-17,86,75,80.5,-1.1,0,16,0.03,0,0
2022-04-18,84,75,79.5,-3.1,0,15,0.95,0,0
2022-04-19,86,77,81.5,-1.2,0,17,0.02,0,0
2022-04-20,87,77,82,-0.7,0,17,0.05,0,0
2022-04-21,87,77,82,-0.7,0,17,T,0,0
2022-04-22,87,77,82,-0.8,0,17,0.2,0,0
2022-04-23,87,78,82.5,-0.3,0,18,0.13,0,0
2022-04-24,87,77,82,-0.8,0,17,0.13,0,0
2022-04-25,83,76,79.5,-3.3,0,15,0.21,0,0
2022-04-26,86,75,80.5,-2.4,0,16,0.12,0,0
2022-04-27,86,77,81.5,-1.4,0,17,0.08,0,0
2022-04-28,88,77,82.5,0.6,0,18,0.01,0,0
2022-04-29,86,79,82.5,-0.4,0,18,0.04,0,0
2022-04-30,87,76,81.5,-1.4,0,17,T,0,0
