Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-05-01,87,75,81,-2,0,16,0.01,0,0
2022-05-02,87,79,83,0,0,18,T,0,0
2022-05-03,88,78,83,0,0,18,0.02,0,0
2022-05-04,86,79,82.5,-0.5,0,18,0.02,0,0
2022-05-05,87,77,82,-1,0,17,0.13,0,0
2022-05-06,88,77,82.5,-0.6,0,18,0.03,0,0
2022-05-07,87,78,82.5,-0.6,0,18,0.08,0,0
2022-05-08,87,79,83,-0.1,0,18,0.01,0,0
2022-05-09,86,75,80.5,-2.6,0,16,0.07,0,0
2022-05-10,89,79,84,0.9,0,19,0,0,0
2022-05-11,88,78,83,-0.1,0,18,0.03,0,0
2022-05-12,87,77,82,-1.1,0,17,0.13,0,0
2022-05-13,88,77,82.5,-0.7,0,18,0.01,0,0
2022-05-14,89,77,83,-1.2,0,18,0,0,0
2022-05-15,88,76,82,-0.2,0,17,0.01,0,0
2022-05-16,89,76,82.5,-0.7,0,18,T,0,0
2022-05-17,88,80,84,0.8,0,19,T,0,0
2022-05-18,89,76,82.5,-0.7,0,18,0.09,0,0
2022-05-19,88,78,83,-0.2,0,18,0.01,0,0
2022-05-20,87,75,81,-2.3,0,16,0.22,0,0
2022-05-21,87,77,82,-1.3,0,17,0.14,0,0
2022-05-22,87,77,82,-1.8,0,17,0.28,0,0
2022-05-23,88,75,81.5,-1.8,0,17,0.06,0,0
2022-05-24,88,79,83.5,0.2,0,19,T,0,0
2022-05-25,89,80,84.5,1.2,0,20,0.01,0,0
2022-05-26,89,78,83.5,0.1,0,19,0.04,0,0
2022-05-27,88,76,82,-1.4,0,17,0.14,0,0
2022-05-28,88,78,83,-0.4,0,18,0.02,0,0
2022-05-29,89,79,84,0.6,0,19,0.02,0,0
2022-05-30,88,75,81.5,-1.9,0,17,0.66,0,0
2022-05-31,88,76,82,-1.4,0,17,0.11,0,0
