Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-11-01,87,78,82.5,0.1,0,18,0.05,0,0
2022-11-02,86,75,80.5,-1.9,0,16,0.15,0,0
2022-11-03,85,76,80.5,-2.4,0,16,1.2,0,0
2022-11-04,85,75,80,-1.9,0,15,0.1,0,0
2022-11-05,86,76,81,-1.5,0,16,0.3,0,0
2022-11-06,87,77,82,-0.5,0,17,0.04,0,0
2022-11-07,88,76,82,-0.5,0,17,0.01,0,0
2022-11-08,88,79,83.5,1,0,18,0.05,0,0
2022-11-09,88,77,82.5,0.5,0,18,0.28,0,0
2022-11-10,88,79,83.5,1,0,19,0.15,0,0
2022-11-11,85,76,80.5,-2,0,16,0.52,0,0
2022-11-12,86,76,81,-1.5,0,16,0.42,0,0
2022-11-13,86,78,82,-0.5,0,17,0.04,0,0
2022-11-14,87,76,81.5,-1,0,17,0.06,0,0
2022-11-15,89,78,83.5,1,0,19,0.08,0,0
2022-11-16,88,78,83,0.5,0,18,T,0,0
2022-11-17,87,77,82,0,0,17,0.2,0,0
2022-11-18,87,77,82,-0.5,0,17,0.09,0,0
2022-11-19,87,78,82.5,0,0,18,0.04,0,0
2022-11-20,87,77,82,-0.5,0,17,T,0,0
2022-11-21,87,76,81.5,-1,0,17,0.07,0,0
2022-11-22,88,77,82.5,0,0,18,T,0,0
2022-11-23,87,74,80.5,-1.9,0,16,0,0,0
2022-11-24,87,76,81.5,-0.9,0,17,0.09,0,0
2022-11-25,87,77,82,-0.4,0,17,0.08,0,0
2022-11-26,87,78,82.5,0.1,0,18,0.1,0,0
2022-11-27,88,78,83,0.1,0,18,0.1,0,0
2022-11-28,88,77,82.5,0.1,0,18,0.57,0,0
2022-11-29,87,78,82.5,0.2,0,18,0.79,0,0
2022-11-30,87,75,81,-1.3,0,16,0.08,0,0
