Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-12-01,86,78,82,-0.3,0,17,0.08,0,0
2020-12-02,85,75,80,-2.3,0,15,1.45,0,0
2020-12-03,85,74,79.5,-2.8,0,15,1.18,0,0
2020-12-04,86,77,81.5,-0.7,0,17,0.53,0,0
2020-12-05,87,78,82.5,0.3,0,18,0.12,0,0
2020-12-06,86,80,83,0.8,0,18,0.09,0,0
2020-12-07,86,78,82,-0.1,0,17,0.77,0,0
2020-12-08,86,77,81.5,-0.6,0,17,0.53,0,0
2020-12-09,86,76,81,-1.1,0,16,1.21,0,0
2020-12-10,85,75,80,-2.1,0,15,0.09,0,0
2020-12-11,87,75,81,-1,0,16,0,0,0
2020-12-12,85,73,79,-3,0,14,0.09,0,0
2020-12-13,86,77,81.5,-0.4,0,17,0.09,0,0
2020-12-14,87,77,82,0.1,0,17,0.7,0,0
2020-12-15,86,77,81.5,-0.4,0,17,T,0,0
2020-12-16,87,78,82.5,0.7,0,18,T,0,0
2020-12-17,87,78,82.5,0.7,0,18,0.02,0,0
2020-12-18,86,77,81.5,-0.3,0,17,0.08,0,0
2020-12-19,87,77,82,0.3,0,17,0.01,0,0
2020-12-20,88,78,82.5,0.8,0,18,0.09,0,0
2020-12-21,87,78,82.5,0.9,0,18,T,0,0
2020-12-22,87,80,83.5,1.9,0,19,T,0,0
2020-12-23,84,71,77.5,-4,0,13,0.45,0,0
2020-12-24,87,77,82,0.5,0,17,0.04,0,0
2020-12-25,85,77,81,-0.4,0,16,0.03,0,0
2020-12-26,87,78,82.5,1.1,0,18,0.04,0,0
2020-12-27,86,76,81,-0.4,0,16,0.14,0,0
2020-12-28,85,78,81.5,0.2,0,17,0.09,0,0
2020-12-29,86,77,81.5,0.2,0,17,0,0,0
2020-12-30,86,78,82,0.8,0,17,0,0,0
2020-12-31,87,77,82,0.8,0,17,T,0,0
