Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-10-01,87,75,81,-0.8,0,16,0.82,0,0
2021-10-02,84,77,80.5,-0.6,0,16,0.39,0,0
2021-10-03,87,75,81,-0.8,0,16,0.82,0,0
2021-10-04,87,75,81,-0.9,0,16,0.85,0,0
2021-10-05,82,74,78,-3.9,0,13,3.07,0,0
2021-10-06,85,74,79.5,-2.4,0,15,3.18,0,0
2021-10-07,83,75,79,-3.4,0,14,0.85,0,0
2021-10-08,85,75,80,-1.9,0,15,1.44,0,0
2021-10-09,85,74,79.5,-2.5,0,15,0.88,0,0
2021-10-10,84,75,79.5,-2.5,0,15,2.37,0,0
2021-10-11,86,76,81,-1,0,16,0.34,0,0
2021-10-12,87,75,81,-1,0,16,0.46,0,0
2021-10-13,86,75,80.5,-1.5,0,16,T,0,0
2021-10-14,87,77,82,-0.1,0,17,0.11,0,0
2021-10-15,87,78,82.5,0.4,0,18,0.09,0,0
2021-10-16,87,75,81,-1.1,0,16,0.11,0,0
2021-10-17,87,75,81,-1.1,0,16,0.34,0,0
2021-10-18,88,75,81.5,-0.6,0,17,0.2,0,0
2021-10-19,86,74,80,-2.2,0,15,0.32,0,0
2021-10-20,88,75,81.5,-0.7,0,17,1.95,0,0
2021-10-21,85,73,80,-2.2,0,15,2.03,0,0
2021-10-22,82,76,79,-3.2,0,14,1.53,0,0
2021-10-23,84,74,79,-3.2,0,14,1.83,0,0
2021-10-24,79,76,77.5,-5.8,0,12,1.08,0,0
2021-10-25,86,76,81,-1.3,0,16,0,0,0
2021-10-26,86,74,80,-2.3,0,15,0,0,0
2021-10-27,87,77,82,-0.3,0,17,0,0,0
2021-10-28,87,79,83,0.7,0,18,0,0,0
2021-10-29,89,77,83,0.6,0,18,T,0,0
2021-10-30,88,77,82.5,0.1,0,18,0.33,0,0
2021-10-31,82,75,78.5,-3.9,0,14,1.29,0,0
