Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-07-01,90,77,83.5,0.4,0,19,0.38,0,0
2021-07-02,88,79,83.5,0.4,0,19,0.01,0,0
2021-07-03,89,80,84.5,1.5,0,20,0.08,0,0
2021-07-04,90,80,85,2,0,20,0.23,0,0
2021-07-05,89,81,85,2.1,0,20,0.05,0,0
2021-07-06,91,80,85.5,2.6,0,21,T,0,0
2021-07-07,91,78,84.5,1.6,0,20,0.01,0,0
2021-07-08,90,80,85,2.2,0,20,0.36,0,0
2021-07-09,89,80,84.5,1.7,0,20,0.11,0,0
2021-07-10,90,78,84,1.3,0,19,0.28,0,0
2021-07-11,89,80,84.5,1.3,0,19,0.34,0,0
2021-07-12,89,78,83.5,0.9,0,19,0.35,0,0
2021-07-13,88,77,82.5,-0.1,0,18,0.21,0,0
2021-07-14,88,77,82.5,-0.1,0,18,0.25,0,0
2021-07-15,87,77,82,-0.5,0,17,0.84,0,0
2021-07-16,89,81,85,2.5,0,20,0.01,0,0
2021-07-17,89,81,85,2.6,0,20,0,0,0
2021-07-18,88,79,83.5,1.1,0,19,0.05,0,0
2021-07-19,89,80,84.5,2.1,0,20,0.06,0,0
2021-07-20,85,77,81,-1.3,0,16,1.12,0,0
2021-07-21,85,75,80,-2.3,0,15,0.61,0,0
2021-07-22,89,76,82.5,0.3,0,18,0.45,0,0
2021-07-23,87,74,80.5,-1.7,0,16,0.22,0,0
2021-07-24,85,76,80.5,-1.7,0,16,0.21,0,0
2021-07-25,86,75,80.5,-1.7,0,16,1.01,0,0
2021-07-26,89,78,83.5,1.4,0,19,0.05,0,0
2021-07-27,89,79,84,1.9,0,19,T,0,0
2021-07-28,89,81,85,2.9,0,20,0.03,0,0
2021-07-29,88,79,83.5,1.5,0,19,0.01,0,0
2021-07-30,88,78,83,1,0,18,0.75,0,0
2021-07-31,90,77,83.5,1.5,0,19,0.68,0,0
