Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-05-01,90,77,83.5,-0.5,0,18,0.83,0,0
2020-05-02,87,75,81,-1,0,17,1.02,0,0
2020-05-03,89,80,84.5,1.5,0,20,T,0,0
2020-05-04,89,81,85,2,0,20,0,0,0
2020-05-05,88,79,83.5,0.5,0,19,0.07,0,0
2020-05-06,89,81,85,1.9,0,20,0,0,0
2020-05-07,88,79,83.5,0.4,0,19,T,0,0
2020-05-08,88,77,82.5,-0.6,0,18,0.01,0,0
2020-05-09,89,78,83.5,0.4,0,19,0,0,0
2020-05-10,89,81,85,1.9,0,20,0.08,0,0
2020-05-11,84,73,78.5,-4.6,0,14,2.09,0,0
2020-05-12,88,76,82,-1.1,0,17,0,0,0
2020-05-13,89,78,83.5,0.3,0,19,0.02,0,0
2020-05-14,89,80,84.5,1.3,0,20,0.01,0,0
2020-05-15,88,80,84,0.8,0,19,T,0,0
2020-05-16,89,80,84.5,1.3,0,20,0.17,0,0
2020-05-17,86,78,82,-1.2,0,17,0.72,0,0
2020-05-18,89,81,85,1.8,0,20,0,0,0
2020-05-19,89,81,85,1.8,0,20,0,0,0
2020-05-20,89,80,84.5,1.2,0,20,T,0,0
2020-05-21,90,82,86,2.7,0,21,0,0,0
2020-05-22,89,81,85,1.7,0,20,T,0,0
2020-05-23,90,80,85,1.7,0,20,T,0,0
2020-05-24,90,78,84,0.7,0,19,0.03,0,0
2020-05-25,90,79,84.5,1.2,0,20,0.01,0,0
2020-05-26,89,80,84.5,1.1,0,20,0.05,0,0
2020-05-27,89,79,84,0.6,0,19,0.03,0,0
2020-05-28,90,80,85,1.6,0,20,T,0,0
2020-05-29,90,77,83.5,0.1,0,19,0.06,0,0
2020-05-30,85,77,81,-2.4,0,16,0.48,0,0
2020-05-31,85,76,80.5,-2.9,0,16,2.48,0,0
