Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-03-01,86,77,81.5,0.8,0,17,0.3,0,0
2022-03-02,87,76,81.5,0.7,0,17,0.07,0,0
2022-03-03,86,76,81,0.2,0,16,0.07,0,0
2022-03-04,86,77,81.5,0.7,0,17,0.02,0,0
2022-03-05,87,78,82.5,1.6,0,18,T,0,0
2022-03-06,86,78,82,1.1,0,17,T,0,0
2022-03-07,86,77,81.5,0.6,0,17,0,0,0
2022-03-08,86,74,80,-0.5,0,15,0,0,0
2022-03-09,88,75,81.5,0.5,0,17,0,0,0
2022-03-10,87,75,81,0,0,16,0,0,0
2022-03-11,88,74,81,0,0,16,0,0,0
2022-03-12,87,77,82,0.9,0,17,0.07,0,0
2022-03-13,88,77,82.5,1.9,0,18,0,0,0
2022-03-14,86,77,81.5,-0.1,0,17,0.09,0,0
2022-03-15,87,77,82,0.8,0,17,T,0,0
2022-03-16,88,78,83,1.8,0,18,0.02,0,0
2022-03-17,88,78,83,1.2,0,18,0.02,0,0
2022-03-18,88,77,82.5,0.2,0,17,0.09,0,0
2022-03-19,88,76,82,0.7,0,17,0.09,0,0
2022-03-20,88,76,82,0.6,0,17,0.14,0,0
2022-03-21,88,78,83,1.6,0,18,T,0,0
2022-03-22,87,79,83,1.5,0,18,0,0,0
2022-03-23,87,78,82.5,1,0,18,T,0,0
2022-03-24,87,77,82,0.5,0,17,T,0,0
2022-03-25,87,74,80.5,-1.1,0,16,0.03,0,0
2022-03-26,86,75,80.5,-1.1,0,16,0.16,0,0
2022-03-27,86,78,82,0.8,0,17,0.03,0,0
2022-03-28,87,77,82,0.3,0,17,0.09,0,0
2022-03-29,88,75,81.5,-0.3,0,17,0.56,0,0
2022-03-30,86,76,81,-0.8,0,16,0.09,0,0
2022-03-31,87,74,80.5,-1.4,0,16,0.34,0,0
