Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-08-01,87,77,82,0,0,17,0.01,0,0
2022-08-02,86,76,81,-1,0,16,0.25,0,0
2022-08-03,87,78,82.5,0.6,0,18,0.2,0,0
2022-08-04,88,77,82.5,0.6,0,18,0.04,0,0
2022-08-05,87,78,82.5,0.6,0,18,T,0,0
2022-08-06,87,77,82,0.1,0,17,0.01,0,0
2022-08-07,88,76,82.5,0.6,0,18,0,0,0
2022-08-08,87,76,82,0.1,0,17,0.01,0,0
2022-08-09,88,77,82.5,0.6,0,18,0,0,0
2022-08-10,86,74,80,-1.9,0,15,0.36,0,0
2022-08-11,88,77,82.5,0.6,0,18,0.04,0,0
2022-08-12,85,77,81,-0.9,0,16,0.21,0,0
2022-08-13,86,75,80.5,-1.3,0,16,0.02,0,0
2022-08-14,87,75,81,-0.8,0,16,0.03,0,0
2022-08-15,87,79,83,1.2,0,18,0.02,0,0
2022-08-16,88,73,80.5,-1.3,0,16,1.19,0,0
2022-08-17,82,74,78,-3.8,0,13,0.79,0,0
2022-08-18,88,76,82,0.2,0,17,0.01,0,0
2022-08-19,86,77,81.5,-0.3,0,17,0.04,0,0
2022-08-20,85,74,79.5,-2.3,0,15,0.12,0,0
2022-08-21,84,75,79.5,-2.3,0,15,T,0,0
2022-08-22,84,73,78.5,-3.3,0,14,2.31,0,0
2022-08-23,86,73,79.5,-2.3,0,15,1.13,0,0
2022-08-24,87,73,80,-1.8,0,15,0.1,0,0
2022-08-25,88,73,80.5,-1.3,0,16,0,0,0
2022-08-26,82,73,77.5,-4.3,0,13,0.33,0,0
2022-08-27,86,75,80.5,-1.3,0,16,0.06,0,0
2022-08-28,87,76,81.5,-0.3,0,17,0.15,0,0
2022-08-29,87,76,81.5,-0.3,0,17,T,0,0
2022-08-30,87,77,82,0.2,0,17,1.25,0,0
2022-08-31,80,73,76.5,-5.3,0,12,0.47,0,0
