Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-07-01,87,77,82,-1.1,0,17,0.15,0,0
2022-07-02,87,77,82,-1.1,0,17,0.2,0,0
2022-07-03,84,75,79.5,-3.5,0,14,0.14,0,0
2022-07-04,83,74,78.5,-4.5,0,13,1.3,0,0
2022-07-05,88,75,81.5,-1.4,0,17,0.04,0,0
2022-07-06,87,77,82,-0.9,0,17,0.32,0,0
2022-07-07,86,76,81,-1.9,0,16,0.03,0,0
2022-07-08,83,75,79,-3.8,0,14,0.17,0,0
2022-07-09,84,76,80,-2.8,0,15,0.17,0,0
2022-07-10,86,76,81,-1.7,0,16,0.03,0,0
2022-07-11,87,78,82.5,-0.2,0,18,0.15,0,0
2022-07-12,87,77,82,-0.6,0,17,0.07,0,0
2022-07-13,88,78,83,0.4,0,18,0.1,0,0
2022-07-14,84,75,79.5,-3.1,0,15,0.69,0,0
2022-07-15,86,76,81,-0.5,0,16,0.01,0,0
2022-07-16,87,79,83,0.5,0,18,0.1,0,0
2022-07-17,87,76,81.5,-0.9,0,17,0.45,0,0
2022-07-18,87,78,82.5,0.1,0,18,T,0,0
2022-07-19,89,79,84,1.6,0,19,T,0,0
2022-07-20,87,77,82,-0.3,0,17,0.05,0,0
2022-07-21,84,75,79.5,-2.8,0,15,2.48,0,0
2022-07-22,86,74,80,-2.2,0,15,0.64,0,0
2022-07-23,87,77,82,-0.2,0,17,0.03,0,0
2022-07-24,87,75,81,-1.2,0,16,0.13,0,0
2022-07-25,86,75,80.5,-1.7,0,16,0.63,0,0
2022-07-26,83,74,78.5,-3.6,0,13,1.62,0,0
2022-07-27,82,73,77.5,-4.6,0,13,1.95,0,0
2022-07-28,87,77,82,-0.1,0,17,0.17,0,0
2022-07-29,84,76,80,-2,0,15,1.37,0,0
2022-07-30,86,76,81,-1,0,16,0.3,0,0
2022-07-31,87,75,81,-1,0,16,0.22,0,0
