Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-03-01,88,77,82.5,1.8,0,18,0.03,0,0
2020-03-02,88,76,82,1.7,0,18,0.33,0,0
2020-03-03,87,79,83,2.2,0,18,T,0,0
2020-03-04,88,78,83,2.2,0,18,T,0,0
2020-03-05,86,77,81.5,0.6,0,17,T,0,0
2020-03-06,88,77,82.5,1.6,0,18,T,0,0
2020-03-07,88,75,81.5,0.6,0,17,T,0,0
2020-03-08,88,73,80.5,-0.4,0,16,0,0,0
2020-03-09,87,74,80.5,-0.5,0,16,T,0,0
2020-03-10,87,74,80.5,-0.5,0,16,0,0,0
2020-03-11,90,74,82,1,0,17,0,0,0
2020-03-12,89,74,81.5,0.4,0,17,0.01,0,0
2020-03-13,88,76,82,0.9,0,17,0.06,0,0
2020-03-14,88,75,81.5,0.4,0,17,0.02,0,0
2020-03-15,89,75,82,0.8,0,17,0,0,0
2020-03-16,89,73,81,-0.2,0,16,0.01,0,0
2020-03-17,88,75,81.5,0.2,0,17,T,0,0
2020-03-18,90,78,84,2.7,0,19,0,0,0
2020-03-19,88,77,82.5,1.2,0,18,0.02,0,0
2020-03-20,88,79,83.5,2.1,0,19,0,0,0
2020-03-21,87,77,82,0.6,0,17,0.04,0,0
2020-03-22,89,76,82.5,1,0,18,0,0,0
2020-03-23,89,78,83.5,2,0,19,0.03,0,0
2020-03-24,88,77,82.5,1,0,18,0,0,0
2020-03-25,90,74,82,0.4,0,17,0,0,0
2020-03-26,88,75,81.5,-0.1,0,17,0.07,0,0
2020-03-27,88,77,82.5,0.8,0,18,0.09,0,0
2020-03-28,87,78,82.5,0.8,0,18,0.1,0,0
2020-03-29,89,77,83,1.2,0,18,0.07,0,0
2020-03-30,89,76,82.5,0.7,0,18,0.18,0,0
2020-03-31,88,75,81.5,-0.4,0,17,0.27,0,0
