Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-12-01,87,76,81.5,-0.8,0,17,0.1,0,0
2022-12-02,86,75,80.5,-1.6,0,16,1.36,0,0
2022-12-03,87,80,83.5,1.2,0,19,T,0,0
2022-12-04,86,75,80.5,-1.7,0,16,0.1,0,0
2022-12-05,85,76,80.5,-1.7,0,16,0.33,0,0
2022-12-06,87,78,82.5,0.3,0,18,0.25,0,0
2022-12-07,86,79,82.5,0.4,0,18,0.15,0,0
2022-12-08,87,79,83,0.9,0,18,0.07,0,0
2022-12-09,87,78,82.5,0.4,0,18,0.02,0,0
2022-12-10,86,79,82.5,0.4,0,18,T,0,0
2022-12-11,85,76,80.5,-1.5,0,16,0.76,0,0
2022-12-12,86,76,81,-1,0,16,0.01,0,0
2022-12-13,86,78,82,0.1,0,17,0,0,0
2022-12-14,86,75,80.5,-1.4,0,16,0.04,0,0
2022-12-15,86,78,82,0.1,0,17,0.14,0,0
2022-12-16,86,77,81.5,-0.3,0,17,0.25,0,0
2022-12-17,85,79,82,0.2,0,17,0.26,0,0
2022-12-18,86,75,80.5,-0.7,0,16,0.01,0,0
2022-12-19,86,77,81.5,-0.2,0,17,0.18,0,0
2022-12-20,87,75,81,-0.7,0,16,0.03,0,0
2022-12-21,84,75,80,-1.6,0,15,0.2,0,0
2022-12-22,84,76,80,-1.6,0,15,0.79,0,0
2022-12-23,85,75,80,-1.5,0,15,0.51,0,0
2022-12-24,87,79,83,1.5,0,18,T,0,0
2022-12-25,85,76,80.5,-0.9,0,16,0.65,0,0
2022-12-26,86,75,80.5,-0.9,0,16,0.4,0,0
2022-12-27,85,75,80,-1.4,0,15,0.04,0,0
2022-12-28,81,76,78.5,-2.8,0,14,1.28,0,0
2022-12-29,85,76,80.5,-0.8,0,16,0.05,0,0
2022-12-30,85,76,80.5,-0.7,0,16,0.26,0,0
2022-12-31,85,77,81,-0.2,0,16,1.08,0,0
