Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-06-01,87,79,83,-0.4,0,18,0.15,0,0
2021-06-02,87,80,83.5,0.1,0,19,T,0,0
2021-06-03,87,76,81.5,-2,0,17,0.01,0,0
2021-06-04,88,77,82.5,-1,0,18,0.17,0,0
2021-06-05,87,79,83,-1.5,0,18,0.1,0,0
2021-06-06,87,79,83,-0.5,0,18,0.03,0,0
2021-06-07,86,77,81.5,-2,0,17,0.1,0,0
2021-06-08,88,78,83,-1.5,0,18,0,0,0
2021-06-09,89,75,82,-1.5,0,17,0,0,0
2021-06-10,90,74,82,-1.5,0,17,0,0,0
2021-06-11,90,76,83,-0.5,0,18,0,0,0
2021-06-12,91,81,86,2.5,0,21,0,0,0
2021-06-13,91,80,85.5,2,0,21,T,0,0
2021-06-14,91,79,85,1.5,0,20,T,0,0
2021-06-15,92,81,86.5,3,0,22,0,0,0
2021-06-16,92,81,86.5,3,0,22,T,0,0
2021-06-17,92,80,86,2.5,0,21,0,0,0
2021-06-18,88,78,83,-0.4,0,18,0.35,0,0
2021-06-19,90,79,84.5,1.1,0,20,0.18,0,0
2021-06-20,90,77,83.5,0.1,0,19,0.05,0,0
2021-06-21,88,78,83,-0.4,0,18,0.2,0,0
2021-06-22,88,76,79.5,-3.9,0,15,2.83,0,0
2021-06-23,88,79,83.5,0.2,0,19,0.05,0,0
2021-06-24,89,78,83.5,0.2,0,19,0.21,0,0
2021-06-25,90,79,84.5,1.2,0,20,0.02,0,0
2021-06-26,89,78,83.5,0.2,0,19,0,0,0
2021-06-27,90,80,85,1.8,0,20,0.06,0,0
2021-06-28,91,80,85.5,2.3,0,21,0.08,0,0
2021-06-29,89,80,84.5,1.3,0,20,0.21,0,0
2021-06-30,89,79,84,0.9,0,19,0.28,0,0
