Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-01-01,86,76,81,-0.1,0,16,0.06,0,0
2021-01-02,87,78,82.5,1.4,0,18,T,0,0
2021-01-03,87,79,83,2,0,18,T,0,0
2021-01-04,87,76,81.5,0.5,0,17,0.32,0,0
2021-01-05,87,77,82,1,0,17,0.34,0,0
2021-01-06,85,78,81.5,0.6,0,17,0.01,0,0
2021-01-07,85,77,81,0.1,0,16,0.09,0,0
2021-01-08,87,77,82,1.2,0,17,0.09,0,0
2021-01-09,85,77,81,-0.2,0,16,0.33,0,0
2021-01-10,86,75,80.5,-0.3,0,16,T,0,0
2021-01-11,86,76,80.5,-0.2,0,16,T,0,0
2021-01-12,86,77,81.5,0.8,0,17,T,0,0
2021-01-13,86,76,81,0.3,0,16,0.15,0,0
2021-01-14,85,76,80.5,-0.1,0,16,0.21,0,0
2021-01-15,86,76,81,0.4,0,16,0.01,0,0
2021-01-16,86,76,81,0.4,0,16,0.11,0,0
2021-01-17,86,78,82,1.4,0,17,T,0,0
2021-01-18,86,78,82,1.4,0,17,0,0,0
2021-01-19,87,79,83,2.5,0,18,T,0,0
2021-01-20,89,78,83.5,3,0,19,T,0,0
2021-01-21,81,70,75.5,-5,0,11,1.89,0,0
2021-01-22,86,76,80.5,0,0,16,0.02,0,0
2021-01-23,86,77,81.5,1.1,0,17,0.21,0,0
2021-01-24,85,75,80,-0.4,0,15,T,0,0
2021-01-25,86,73,79.5,-0.9,0,15,T,0,0
2021-01-26,88,73,80.5,-0.1,0,16,0.01,0,0
2021-01-27,86,74,79.5,-0.9,0,15,0.04,0,0
2021-01-28,86,71,78.5,-1.9,0,14,0,0,0
2021-01-29,87,72,79.5,-0.9,0,15,0,0,0
2021-01-30,89,77,83,2.9,0,18,0.15,0,0
2021-01-31,86,72,79,-1.9,0,14,0.07,0,0
