Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-01-01,85,73,79,-2.1,0,14,0.1,0,0
2022-01-02,86,74,80,-1.1,0,15,0.04,0,0
2022-01-03,83,74,78.5,-2.5,0,14,0.24,0,0
2022-01-04,86,75,80.5,-0.5,0,16,0.03,0,0
2022-01-05,86,75,80.5,-0.5,0,16,0.11,0,0
2022-01-06,86,75,80.5,-0.4,0,16,0.36,0,0
2022-01-07,81,75,78,-2.9,0,13,0.41,0,0
2022-01-08,85,75,80,-0.8,0,15,0.02,0,0
2022-01-09,85,78,81.5,0.7,0,17,0,0,0
2022-01-10,86,76,81,0.2,0,16,0,0,0
2022-01-11,86,75,80.5,-0.2,0,16,0.08,0,0
2022-01-12,85,73,79,-1.7,0,14,0,0,0
2022-01-13,86,72,79,-1.7,0,14,0,0,0
2022-01-14,86,73,79.5,-1.1,0,15,0,0,0
2022-01-15,86,73,79.5,-1.1,0,15,0.03,0,0
2022-01-16,86,75,80.5,-0.3,0,16,0.03,0,0
2022-01-17,80,75,77.5,-3.1,0,13,0.64,0,0
2022-01-18,85,75,80,-0.6,0,15,0.29,0,0
2022-01-19,85,74,79.5,-1,0,15,0.39,0,0
2022-01-20,84,74,79,-1.5,0,14,0.46,0,0
2022-01-21,84,74,79,-1.5,0,14,0.01,0,0
2022-01-22,83,75,79,-1.5,0,14,0.62,0,0
2022-01-23,81,74,77.5,-3,0,13,1.12,0,0
2022-01-24,84,75,79.5,-0.9,0,15,0.31,0,0
2022-01-25,85,74,79.5,-0.9,0,15,0.23,0,0
2022-01-26,85,77,81,0.6,0,16,0.05,0,0
2022-01-27,86,75,80.5,-0.4,0,16,T,0,0
2022-01-28,86,75,80.5,-0.1,0,16,0.01,0,0
2022-01-29,86,75,80.5,0.1,0,16,T,0,0
2022-01-30,86,75,80.5,0.1,0,16,T,0,0
2022-01-31,85,75,80,-0.4,0,15,0.29,0,0
