Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-02-01,81,75,78,-2.4,0,13,0.78,0,0
2020-02-02,81,75,78,-2.4,0,13,1.68,0,0
2020-02-03,81,75,78,-2.4,0,13,0.26,0,0
2020-02-04,84,77,80.5,0.1,0,16,0.31,0,0
2020-02-05,84,77,80.5,-0.4,0,15,0.02,0,0
2020-02-06,85,76,80.5,0.1,0,16,0,0,0
2020-02-07,87,75,81,0.6,0,16,T,0,0
2020-02-08,86,75,80.5,0.1,0,16,T,0,0
2020-02-09,85,75,80,-0.4,0,15,0.01,0,0
2020-02-10,85,74,79.5,-0.9,0,15,0,0,0
2020-02-11,86,75,80.5,0.1,0,16,0.09,0,0
2020-02-12,85,75,80,-0.4,0,15,T,0,0
2020-02-13,86,74,80,-0.5,0,15,0.02,0,0
2020-02-14,85,72,78.5,-2,0,14,0.05,0,0
2020-02-15,86,74,80,-0.5,0,15,0.07,0,0
2020-02-16,86,77,81.5,1,0,17,T,0,0
2020-02-17,85,76,80.5,0,0,16,T,0,0
2020-02-18,87,75,81,0.5,0,16,T,0,0
2020-02-19,87,73,80,-0.5,0,15,0.03,0,0
2020-02-20,86,75,80.5,-0.1,0,16,0,0,0
2020-02-21,85,73,79,-1.6,0,14,0.05,0,0
2020-02-22,88,78,83,2.4,0,18,0,0,0
2020-02-23,87,76,81.5,0.9,0,17,0.05,0,0
2020-02-24,87,75,81,0.4,0,16,0.02,0,0
2020-02-25,85,75,80,-0.7,0,15,0.35,0,0
2020-02-26,86,77,81.5,0.8,0,17,T,0,0
2020-02-27,87,75,81,0.8,0,17,0,0,0
2020-02-28,87,74,80.5,-0.2,0,16,T,0,0
2020-02-29,87,76,81.5,0.8,0,17,T,0,0
