Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2021-08-01,88,78,83,-1,0,18,0.93,0,0
2021-08-02,83,77,80,-2,0,15,1.93,0,0
2021-08-03,87,75,81,-0.9,0,16,1.74,0,0
2021-08-04,90,77,83.5,1.6,0,19,0.04,0,0
2021-08-05,90,78,84,2.1,0,19,0,0,0
2021-08-06,88,77,82.5,0.6,0,18,0.67,0,0
2021-08-07,88,75,81.5,-0.4,0,17,1.15,0,0
2021-08-08,86,79,82.5,0.6,0,18,0.03,0,0
2021-08-09,88,78,83,1.1,0,18,0.02,0,0
2021-08-10,88,76,82,0.1,0,17,0.23,0,0
2021-08-11,90,77,83.5,1.6,0,19,0.3,0,0
2021-08-12,84,75,79.5,-2.4,0,15,0.38,0,0
2021-08-13,88,79,83.5,1.7,0,19,0.01,0,0
2021-08-14,90,77,83.5,1.7,0,19,0.24,0,0
2021-08-15,88,77,82.5,0.7,0,18,0.05,0,0
2021-08-16,88,79,83.5,1.7,0,19,0.09,0,0
2021-08-17,82,75,78.5,-3.3,0,14,0.55,0,0
2021-08-18,84,75,79.5,-2.3,0,15,1.64,0,0
2021-08-19,88,77,82.5,0.7,0,18,0.01,0,0
2021-08-20,87,78,82.5,1.2,0,18,T,0,0
2021-08-21,88,77,82,0.2,0,17,0.07,0,0
2021-08-22,86,75,80.5,-1.3,0,16,1.53,0,0
2021-08-23,87,75,81,-0.8,0,16,0.17,0,0
2021-08-24,86,76,81,-0.6,0,16,0.15,0,0
2021-08-25,86,76,80.5,-1.3,0,16,0.31,0,0
2021-08-26,85,75,80,-1.8,0,15,1.26,0,0
2021-08-27,87,76,81.5,-0.3,0,17,0.54,0,0
2021-08-28,88,76,82,0.2,0,17,0.23,0,0
2021-08-29,87,77,82,0.2,0,17,0.38,0,0
2021-08-30,87,77,82,0.2,0,17,0.51,0,0
2021-08-31,84,77,80.5,-1.3,0,16,0.28,0,0
