Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2020-10-01,86,77,81.5,-1.3,0,17,0.17,0,0
2020-10-02,88,75,81.5,0.7,0,17,0.1,0,0
2020-10-03,88,77,82.5,0.7,0,18,1.43,0,0
2020-10-04,88,77,82.5,0.6,0,18,0.12,0,0
2020-10-05,89,79,83.5,1.6,0,19,0.05,0,0
2020-10-06,88,76,82,0.1,0,17,0.89,0,0
2020-10-07,88,75,81.5,-0.4,0,17,1.2,0,0
2020-10-08,88,79,83.5,1.6,0,19,0.08,0,0
2020-10-09,82,79,80.5,-1.5,0,16,1.79,0,0
2020-10-10,86,79,82.5,0.5,0,18,0.39,0,0
2020-10-11,87,77,82,0,0,17,3.12,0,0
2020-10-12,88,77,82.5,0.5,0,18,0.96,0,0
2020-10-13,89,79,83.5,1.5,0,19,0,0,0
2020-10-14,90,76,83,0.9,0,18,0.29,0,0
2020-10-15,88,78,83,0.9,0,18,0.18,0,0
2020-10-16,88,78,83,0.9,0,18,0.11,0,0
2020-10-17,84,75,79.5,-2.6,0,15,0.55,0,0
2020-10-18,87,77,82,-0.1,0,17,0.03,0,0
2020-10-19,87,76,81.5,-0.7,0,17,0.44,0,0
2020-10-20,87,75,81,-1.2,0,16,0.5,0,0
2020-10-21,87,77,82,-0.2,0,17,0.57,0,0
2020-10-22,86,75,80.5,-1.7,0,16,0.88,0,0
2020-10-23,85,76,80.5,-1.7,0,16,0.22,0,0
2020-10-24,89,75,82,-0.3,0,17,0.55,0,0
2020-10-25,86,74,80,-2.3,0,15,0.29,0,0
2020-10-26,83,75,79,-3.3,0,14,0.51,0,M
2020-10-27,86,74,80,-2.3,0,15,0.44,0,0
2020-10-28,86,76,81,-1.3,0,16,T,0,0
2020-10-29,88,75,81.5,-0.9,0,17,0.41,0,0
2020-10-30,85,75,80,-2.4,0,15,0.39,0,0
2020-10-31,87,76,81.5,-0.9,0,17,0.09,0,0
